indicativo,altitud,tmed,hrMedia_mean,latitud_dd,longitud_dd,cluster
3099Y,733,15.220906656465186,59.141247509123,39.93527777777778,-3.4961111111111114,4
3100B,540,15.732918469118463,54.46314236724481,40.06722222222223,-3.546111111111111,4
3103,910,13.384080237342705,60.1549783720157,41.00361111111111,-3.301944444444444,4
3104Y,1159,11.19523891966759,61.211379342190384,40.88972222222222,-3.888333333333333,3
3110C,1030,12.149755649083623,55.66770626883768,41.00694444444444,-3.613888888888889,4
3111D,1450,10.196779120364381,64.02271469608134,41.13555555555556,-3.5805555555555557,3
3125Y,672,16.126679493368883,53.98668466604662,40.55,-3.6166666666666663,4
3126Y,740,14.384961242067494,57.36588019229431,40.561388888888885,-3.7119444444444447,4
3129,609,15.568901813205612,55.38624700650017,40.46666666666667,-3.555555555555556,4
3130C,1005,11.256523640113981,60.39122402568232,41.08638888888889,-2.618055555555556,4
3140Y,990,13.692912680293505,59.13646676342563,40.985,-2.76,4
3168D,727,15.382928498118373,55.176530961341086,40.63027777777778,-3.1502777777777777,4
3170Y,605,15.098114204032958,57.93348027173123,40.52833333333333,-3.289722222222222,4
3175,607,15.096972288744439,56.81269243927472,40.48861111111111,-3.443611111111111,4
3182Y,533,15.816799384443515,56.76731159715364,40.31166666666666,-3.497777777777778,4
3191E,1004,14.18080738966815,58.899931577146766,40.69611111111111,-3.765,4
3194U,664,15.539589683652911,52.282992521621495,40.45166666666667,-3.724166666666666,4
3194Y,665,15.397374219610725,55.24476680132207,40.44833333333333,-3.813333333333333,4
3195,667,16.24181000781861,55.33326817826427,40.41194444444445,-3.6780555555555554,4
3196,690,16.13403284671533,55.70095802919708,40.37555555555556,-3.786111111111111,4
3200,620,16.4460516028147,55.589913995308834,40.29944444444444,-3.7222222222222223,4
3209Y,835,13.358029430582214,59.81626350560388,40.765277777777776,-2.8741666666666665,4
3229Y,594,15.293832599118941,56.3931718061674,40.24722222222222,-3.3116666666666665,4
3245Y,635,15.009953240512063,53.914917127071824,39.69611111111111,-3.5058333333333334,4
3254Y,717,16.08336860058039,54.56745848315064,39.68694444444444,-3.780555555555555,4
3260B,513,16.992379385964913,54.61951754385965,39.88472222222222,-4.045277777777778,4
3266A,1532,9.802324159021406,60.536964848269555,40.70638888888889,-4.141944444444444,3
3268C,924,14.863307883349831,54.37451911875375,40.65972222222222,-4.0175,4
3298X,917,14.993922105510018,49.721329571371875,39.54694444444444,-4.350555555555555,4
3305Y,750,15.582604562737641,55.26013941698352,39.63055555555555,-4.476944444444444,4
3319D,1285,8.845381773399014,70.35694731252264,40.33972222222222,-5.012777777777778,0
3330Y,890,13.548071525941737,63.662721362388915,40.31305555555555,-4.487222222222222,3
3337U,850,14.795773707169742,56.837222833248845,40.4675,-4.4558333333333335,4
3338,763,13.701804460756591,53.194266715566606,40.42777777777778,-4.25,4
3343Y,884,14.634428492545556,59.46604086140254,40.49666666666667,-4.061111111111111,4
3362Y,560,16.68553695098799,56.55176821114241,40.10833333333333,-4.680555555555556,4
3365A,372,16.465863529853717,56.382310901551556,39.95861111111111,-4.863611111111111,4
3386A,923,14.651688438188705,61.62844646049284,39.59166666666667,-5.391666666666668,3
3391,630,16.023176654663516,50.90205371392433,40.28861111111111,-4.590833333333333,4
3422D,350,16.82156444735979,61.062643489668744,40.13916666666667,-5.311388888888889,3
3423I,464,16.90282009724473,60.62512155591572,40.153888888888886,-5.373333333333333,3
3427Y,345,15.994393668256993,62.00103093196491,39.99333333333333,-5.114444444444444,4
3434X,269,17.144614822928077,57.61695216447983,39.94583333333333,-5.5825,4
3436D,690,15.744630378815742,61.42442074292019,40.11111111111112,-5.784722222222222,3
3448X,406,17.4238020094971,59.20781070739497,39.82083333333334,-6.1275,4
3455X,559,16.501712328767123,57.7296803652968,39.67,-5.808333333333334,4
3463X,503,17.36880857193353,49.934528513530694,39.4825,-5.854166666666666,4
3463Y,523,17.180043869947923,50.06795433909366,39.46416666666667,-5.874166666666667,4
3469A,394,17.25827633378933,57.80984952120383,39.47138888888889,-6.338888888888889,4
3475X,373,17.911039215686277,56.0025767341679,39.79055555555556,-6.376388888888888,4
3494U,470,15.200804403048265,62.237087214225234,40.40805555555556,-6.239722222222222,3
