indicativo,provincia,latitud_dd,longitud_dd,start_date,end_date,cluster
1037X,Gipuzkoa/Guipúzcoa,43.05166666666666,-2.3372222222222225,2016-01-01,2025-06-11,0
1037Y,Gipuzkoa/Guipúzcoa,43.080000000000005,-2.3175,2016-01-01,2025-06-11,0
1038X,Gipuzkoa/Guipúzcoa,43.1725,-2.2672222222222222,2016-01-01,2025-06-11,0
1041A,Gipuzkoa/Guipúzcoa,43.30222222222222,-2.2511111111111117,2016-01-01,2025-06-11,0
1044X,Araba/Álava,43.05777777777777,-2.5897222222222225,2016-01-01,2025-06-11,0
1048X,Gipuzkoa/Guipúzcoa,43.025,-2.4658333333333333,2016-01-01,2025-06-11,0
1049N,Gipuzkoa/Guipúzcoa,43.138333333333335,-2.4958333333333336,2017-01-01,2025-06-11,0
1050J,Gipuzkoa/Guipúzcoa,43.20916666666667,-2.413333333333333,2016-01-01,2025-06-11,0
1052A,Gipuzkoa/Guipúzcoa,43.31722222222223,-2.397222222222222,2017-01-01,2025-06-11,0
1055B,Bizkaia/Vizcaya,43.37694444444445,-2.5102777777777776,2016-07-02,2018-12-31,1
1056K,Bizkaia/Vizcaya,43.3425,-2.6711111111111108,2016-01-01,2025-06-11,0
1057B,Bizkaia/Vizcaya,43.45388888888889,-2.7527777777777778,2016-01-01,2025-06-11,0
1059X,Bizkaia/Vizcaya,43.375,-3.0216666666666665,2016-01-01,2024-12-31,0
1060X,Araba/Álava,43.05027777777777,-3.0055555555555555,2016-01-01,2024-12-31,0
1064L,Bizkaia/Vizcaya,43.09638888888889,-2.8602777777777777,2016-01-01,2024-12-31,0
1069Y,Bizkaia/Vizcaya,43.09916666666667,-2.6441666666666666,2016-01-01,2024-12-31,0
1074C,Bizkaia/Vizcaya,43.20277777777778,-2.706111111111112,2016-01-01,2024-12-31,0
1078C,Bizkaia/Vizcaya,43.18055555555555,-3.2097222222222226,2016-01-01,2024-12-31,0
1078I,Bizkaia/Vizcaya,43.20333333333333,-3.104722222222222,2016-01-01,2024-12-31,0
1082,Bizkaia/Vizcaya,43.29805555555556,-2.906388888888889,2016-01-01,2024-12-31,0
1083B,Bizkaia/Vizcaya,43.27972222222222,-3.168611111111111,2016-01-01,2024-12-31,0
1083L,Cantabria,43.39472222222222,-3.233888888888889,2016-01-01,2024-12-31,0
1089U,Cantabria,43.255833333333335,-3.4708333333333337,2016-01-01,2024-12-31,0
1096X,Cantabria,43.39666666666667,-3.4697222222222224,2016-01-01,2024-12-31,0
1103X,Cantabria,43.2275,-3.721111111111111,2023-01-01,2024-12-31,0
1109,Cantabria,43.42388888888889,-3.8255555555555554,2016-01-01,2024-12-31,0
1109X,Cantabria,43.42861111111111,-3.8313888888888887,2016-01-01,2024-12-31,0
1111,Cantabria,43.49111111111111,-3.800555555555556,2016-01-01,2024-05-15,0
1111X,Cantabria,43.49111111111111,-3.800555555555556,2016-01-01,2024-12-31,0
1124E,Cantabria,43.24555555555556,-3.849444444444445,2016-01-01,2024-12-31,0
1135C,Cantabria,43.14694444444444,-4.214166666666667,2016-01-01,2024-12-31,0
1152C,Cantabria,43.27194444444444,-4.048611111111111,2016-01-01,2024-12-31,0
1154H,Cantabria,43.35861111111111,-4.0275,2016-01-01,2024-12-31,0
1159,Cantabria,43.39333333333333,-4.392222222222222,2016-01-01,2024-12-31,0
1167B,Cantabria,43.14388888888889,-4.812777777777778,2016-01-01,2024-12-31,0
1167G,Cantabria,43.155,-4.803055555555555,2020-08-13,2024-12-31,0
1167J,Cantabria,43.08916666666667,-4.773888888888889,2020-09-01,2024-12-31,0
1174I,Cantabria,43.18277777777777,-4.601666666666667,2016-01-01,2024-12-31,1
1176A,Cantabria,43.255833333333335,-4.668333333333334,2016-01-01,2024-12-31,0
1178R,Asturias,43.2375,-4.736666666666666,2019-06-01,2024-12-31,0
1178Y,León,43.14527777777778,-4.931666666666667,2016-01-01,2023-12-31,0
1179B,Asturias,43.31111111111111,-4.852777777777778,2016-01-09,2024-12-31,0
1183X,Asturias,43.42027777777778,-4.748055555555555,2016-01-01,2024-12-31,0
1186P,Asturias,43.266666666666666,-5.119166666666667,2016-01-01,2023-12-31,0
1199X,Asturias,43.37777777777778,-5.396666666666667,2016-01-01,2025-06-11,0
1203D,Asturias,43.49222222222223,-5.247222222222223,2016-01-01,2023-12-31,0
1207U,Asturias,43.52305555555555,-5.621111111111111,2016-01-01,2023-12-31,0
1208H,Asturias,43.55972222222222,-5.700833333333334,2016-01-01,2024-12-31,0
1210X,Asturias,43.65583333333333,-5.848611111111111,2016-01-01,2023-12-31,0
1212E,Asturias,43.566944444444445,-6.0441666666666665,2016-01-01,2025-06-11,0
1221D,Asturias,42.97861111111112,-5.776388888888889,2016-01-01,2025-06-11,0
1223P,Asturias,43.132777777777775,-5.822777777777778,2016-01-01,2024-12-31,0
1226X,Asturias,43.09527777777778,-5.476944444444444,2016-01-01,2025-06-11,0
1234P,Asturias,43.275,-5.819166666666667,2016-01-01,2025-06-11,0
1249I,Asturias,43.35333333333333,-5.874166666666667,2016-01-01,2022-12-31,0
1249X,Asturias,43.35333333333333,-5.87388888888889,2016-01-01,2024-12-31,0
1272B,Asturias,43.290277777777774,-6.386666666666667,2016-01-01,2024-12-31,0
1276F,Asturias,43.1,-6.256944444444445,2016-01-01,2025-06-11,0
1279X,Asturias,43.425,-6.230833333333334,2016-01-01,2025-06-11,0
1283U,Asturias,43.56916666666667,-6.47,2016-01-01,2025-06-11,0
1297E,Lugo,42.76861111111111,-7.0175,2016-01-01,2025-06-11,0
1302F,Asturias,42.95527777777778,-6.4725,2016-01-01,2025-06-11,0
1309C,Asturias,43.0275,-6.885,2016-01-01,2025-06-11,0
1327A,Asturias,43.46555555555556,-6.673333333333334,2016-01-01,2025-06-11,0
1331A,Asturias,43.52472222222222,-7.0313888888888885,2016-01-01,2025-06-11,0
1341B,Asturias,43.41555555555556,-7.061111111111111,2016-01-01,2025-06-10,0
1342X,Lugo,43.54055555555556,-7.083055555555555,2016-01-01,2025-06-11,0
1344X,Lugo,43.43138888888889,-7.361666666666666,2016-01-01,2025-06-11,0
1347T,Lugo,43.65111111111111,-7.357222222222222,2016-01-01,2024-12-31,0
1351,A Coruña,43.78611111111111,-7.685,2016-01-01,2025-06-11,0
1354C,A Coruña,43.47638888888889,-8.262222222222222,2016-01-01,2024-07-01,0
1363X,A Coruña,43.44583333333333,-7.861388888888888,2016-01-01,2025-06-11,0
1387,A Coruña,43.365833333333335,-8.421388888888888,2016-01-01,2024-12-31,0
1387D,A Coruña,43.36333333333334,-8.441944444444445,2016-01-01,2024-12-31,0
1387E,A Coruña,43.30694444444444,-8.371944444444445,2016-01-01,2024-12-31,0
1390X,A Coruña,43.20361111111112,-8.71111111111111,2016-01-01,2024-12-31,0
1393,A Coruña,43.160555555555554,-9.210833333333332,2016-01-01,2024-12-31,0
1399,A Coruña,43.0575,-9.046944444444444,2016-01-01,2024-12-31,0
1400,A Coruña,42.92472222222222,-9.29138888888889,2016-01-01,2024-12-31,0
1406X,A Coruña,42.93527777777778,-8.993611111111111,2016-01-01,2024-12-31,0
1410X,A Coruña,43.03777777777778,-8.022222222222224,2016-01-01,2024-12-31,0
1428,A Coruña,42.88805555555555,-8.410555555555556,2016-01-01,2024-12-31,0
1435C,A Coruña,42.80027777777777,-8.876111111111111,2016-01-01,2024-12-31,0
1437O,A Coruña,42.72055555555556,-8.923333333333332,2016-01-01,2017-10-02,0
1442U,A Coruña,42.64388888888889,-8.892222222222221,2016-01-01,2024-12-31,0
1446X,Lugo,42.80972222222222,-7.768333333333333,2016-01-01,2024-12-31,0
1455I,Pontevedra,42.71111111111112,-7.953888888888889,2016-01-01,2024-12-31,0
1465U,Pontevedra,42.66555555555556,-8.1925,2016-01-01,2024-12-31,0
1466A,Pontevedra,42.700833333333335,-8.257777777777777,2016-01-01,2024-12-31,0
1468X,Pontevedra,42.69361111111111,-8.501944444444444,2016-01-01,2024-12-31,0
1473A,A Coruña,42.73833333333334,-8.627222222222223,2016-01-01,2024-12-31,0
1475X,A Coruña,42.87611111111112,-8.555833333333334,2016-01-01,2024-12-31,0
1476R,A Coruña,42.74972222222223,-8.714722222222221,2016-01-01,2024-12-31,0
1477U,Pontevedra,42.58222222222223,-8.769722222222223,2016-01-01,2022-12-31,0
1477V,Pontevedra,42.58472222222223,-8.774722222222223,2016-01-01,2025-06-11,0
1484C,Pontevedra,42.43833333333333,-8.615833333333333,2016-01-01,2025-06-11,0
1486E,Pontevedra,42.39611111111111,-8.706944444444444,2022-01-24,2025-06-11,0
1489A,Pontevedra,42.40694444444444,-8.45111111111111,2017-01-01,2025-06-11,0
1495,Pontevedra,42.23861111111111,-8.623888888888889,2016-07-02,2025-06-11,0
1496X,Pontevedra,42.230555555555554,-8.724166666666667,2016-01-01,2025-06-11,0
1505,Lugo,43.11111111111112,-7.4575,2016-01-01,2025-06-11,0
1518A,Lugo,42.998333333333335,-7.5525,2016-01-01,2025-06-11,0
1521I,Lugo,42.84527777777778,-7.499444444444444,2016-01-01,2024-12-31,0
1521X,Lugo,42.86388888888889,-7.185277777777778,2016-01-01,2024-12-31,0
1541B,León,42.928888888888885,-6.333888888888889,2016-01-01,2024-12-31,0
1542,Asturias,42.994166666666665,-6.414166666666668,2016-01-01,2024-12-31,0
1549,León,42.56388888888888,-6.6,2016-01-01,2024-12-31,1
1561I,León,42.76611111111111,-6.673611111111112,2016-01-01,2024-12-31,0
1583X,Ourense,42.41555555555556,-6.993055555555555,2016-01-01,2024-12-31,1
1631E,Ourense,42.339444444444446,-7.2825,2016-01-01,2024-12-31,0
1639X,Ourense,42.26027777777778,-7.383611111111112,2016-01-01,2024-12-31,0
1658,Lugo,42.58861111111111,-7.191666666666667,2016-01-01,2024-12-31,0
1679A,Lugo,42.531666666666666,-7.510833333333333,2016-01-01,2024-12-25,0
1690A,Ourense,42.32527777777778,-7.859722222222222,2016-01-01,2024-12-31,1
1696O,Ourense,42.46805555555556,-8.278055555555556,2016-01-01,2024-12-31,0
1700X,Ourense,42.421388888888885,-8.092500000000001,2016-01-01,2024-12-31,0
1701X,Ourense,42.3,-8.129166666666666,2016-01-01,2024-12-31,0
1706A,Ourense,42.18277777777777,-7.796111111111111,2016-01-01,2024-12-31,0
1719,Pontevedra,42.21805555555556,-8.281111111111112,2016-01-01,2024-12-31,0
1723X,Pontevedra,42.18222222222222,-8.492777777777777,2016-01-01,2024-12-31,0
1730E,Pontevedra,41.943888888888885,-8.8475,2016-01-01,2024-12-31,0
1735X,Ourense,42.07916666666667,-7.733611111111111,2016-01-01,2024-12-31,0
1738U,Ourense,41.93416666666666,-7.988888888888889,2016-01-01,2024-12-31,0
1740,Cantabria,43.37722222222222,-4.124444444444444,2016-01-01,2024-12-31,0
2005Y,Soria,41.967777777777776,-2.7827777777777776,2016-01-01,2024-12-31,3
2017Y,Soria,41.99583333333334,-2.494166666666666,2016-01-01,2024-12-31,3
2030,Soria,41.775,-2.483055555555556,2016-01-01,2024-12-31,4
2044B,Soria,41.60055555555556,-2.5075,2016-01-01,2024-12-31,4
2048A,Soria,41.41944444444445,-2.4202777777777778,2016-01-01,2024-12-31,4
2059B,Soria,41.34972222222223,-2.783333333333333,2016-01-01,2024-12-31,4
2084Y,Soria,41.721944444444446,-3.046944444444444,2016-01-01,2024-12-31,1
2092,Soria,41.589444444444446,-3.0869444444444447,2016-01-01,2024-12-31,4
2096B,Soria,41.37361111111111,-3.251388888888889,2016-01-01,2024-12-31,4
2106B,Burgos,41.74583333333334,-3.3819444444444446,2016-01-01,2024-12-31,4
2117D,Burgos,41.66583333333333,-3.742777777777778,2016-01-01,2024-12-31,4
2135A,Segovia,41.37277777777778,-3.507222222222222,2016-01-01,2024-12-31,4
2140A,Segovia,41.464444444444446,-3.785833333333333,2016-01-01,2024-12-31,4
2150H,Segovia,41.19194444444444,-3.475277777777778,2016-01-01,2024-12-31,3
2166Y,Valladolid,41.59305555555556,-4.124722222222222,2016-01-01,2024-12-31,4
2172Y,Valladolid,41.61194444444445,-4.405555555555556,2016-01-01,2024-12-31,4
2182C,Segovia,41.13388888888889,-3.790277777777778,2016-01-01,2024-12-31,4
2192C,Segovia,41.38361111111111,-4.265555555555555,2016-01-01,2024-12-31,4
2235U,Palencia,42.87055555555556,-4.52,2016-01-01,2023-12-31,3
2243A,Palencia,42.79805555555556,-4.277222222222222,2016-01-01,2024-07-01,1
2276B,Palencia,42.56888888888889,-4.575,2016-01-01,2023-12-31,4
2285B,Burgos,42.52388888888889,-4.001111111111111,2022-01-01,2023-12-31,4
2290Y,Burgos,42.25111111111111,-4.198888888888889,2016-01-01,2023-12-31,4
2296A,Soria,41.77555555555556,-1.9766666666666668,2016-01-01,2023-12-31,1
2298,Burgos,41.95972222222223,-3.131666666666667,2016-01-01,2023-12-31,4
2302N,Burgos,42.146388888888886,-3.1097222222222225,2016-01-01,2025-06-11,3
2311Y,Burgos,42.10527777777778,-3.767777777777778,2016-01-01,2025-06-11,4
2331,Burgos,42.35694444444445,-3.620277777777778,2016-01-01,2025-06-11,1
2362C,Palencia,42.89388888888889,-4.713611111111112,2016-01-01,2025-06-11,3
2374X,Palencia,42.35083333333333,-4.617222222222223,2016-01-01,2025-06-11,4
2400E,Palencia,41.99555555555556,-4.602777777777778,2016-01-01,2025-06-11,4
2401X,Palencia,42.00944444444445,-4.560555555555555,2016-01-01,2025-06-11,4
2422,Valladolid,41.64083333333333,-4.754166666666666,2016-01-01,2025-06-11,4
2430Y,Ávila,40.54333333333333,-5.0441666666666665,2016-01-01,2025-06-11,4
2444,Ávila,40.65916666666666,-4.679722222222223,2016-01-01,2025-06-11,4
2453E,Ávila,40.82888888888889,-4.741944444444444,2016-01-01,2025-06-11,4
2456B,Ávila,41.07138888888889,-4.73,2016-01-01,2025-06-11,4
2462,Madrid,40.793055555555554,-4.010555555555555,2016-01-01,2025-06-11,3
2465,Segovia,40.945277777777775,-4.126388888888888,2016-01-01,2025-06-11,4
2471Y,Segovia,40.71861111111112,-4.211944444444445,2016-01-01,2025-06-11,3
2482B,Segovia,41.12638888888889,-4.375833333333333,2016-01-01,2025-06-11,4
2491C,Salamanca,40.355,-5.69,2016-01-01,2025-06-11,3
2503B,Valladolid,41.28,-4.691944444444444,2016-01-01,2025-06-11,4
2503X,Valladolid,41.325833333333335,-4.686944444444444,2016-01-01,2016-12-31,4
2507Y,Valladolid,41.41944444444445,-4.963611111111112,2016-01-01,2025-06-11,4
2512Y,Ávila,40.88222222222223,-5.018611111111111,2016-01-01,2025-06-11,4
2517A,Valladolid,41.172777777777775,-4.939722222222223,2016-01-01,2025-06-10,4
2536D,Zamora,41.54833333333333,-5.271388888888889,2016-01-01,2025-06-11,4
2539,Valladolid,41.71194444444445,-4.855555555555555,2016-01-01,2022-12-31,4
2555B,Zamora,41.236666666666665,-5.481388888888889,2016-01-01,2022-12-31,4
2565,Zamora,41.555277777777775,-5.630555555555556,2022-01-01,2022-12-31,4
2568D,Palencia,42.52361111111111,-4.851111111111111,2016-01-01,2022-12-31,1
2593D,Valladolid,42.094166666666666,-5.041111111111111,2016-01-01,2024-12-31,4
2604B,Valladolid,41.87583333333333,-5.040277777777778,2016-01-01,2024-12-31,4
2611D,Zamora,41.85638888888889,-5.592499999999999,2016-01-01,2024-12-31,4
2614,Zamora,41.51555555555556,-5.735277777777778,2016-01-01,2024-12-31,4
2624C,León,42.958333333333336,-5.0075,2016-01-01,2024-12-31,0
2626Y,León,42.62,-5.193333333333333,2016-01-01,2024-12-31,1
2630X,León,43.06222222222222,-5.376944444444444,2016-01-01,2024-12-31,0
