indicativo,altitud,tmed,latitud_dd,longitud_dd,cluster
3423I,464,16.90282009724473,40.153888888888886,-5.373333333333333,3
3427Y,345,15.994393668256993,39.99333333333333,-5.114444444444444,0
3434X,269,17.144614822928077,39.94583333333333,-5.5825,0
3436D,690,15.744630378815742,40.11111111111112,-5.784722222222222,3
3448X,406,17.4238020094971,39.82083333333334,-6.1275,0
3455X,559,16.501712328767123,39.67,-5.808333333333334,0
3463X,503,17.36880857193353,39.4825,-5.854166666666666,0
3463Y,523,17.180043869947923,39.46416666666667,-5.874166666666667,0
3469A,394,17.25827633378933,39.47138888888889,-6.338888888888889,0
3475X,373,17.911039215686277,39.79055555555556,-6.376388888888888,0
3494U,470,15.200804403048265,40.40805555555556,-6.239722222222222,3
3503,393,17.274427655677655,40.18944444444444,-6.1675,0
3504X,724,15.23632160249119,40.265,-5.861111111111111,3
3512X,351,17.10141358869129,40.08083333333334,-6.338888888888889,0
3514B,991,14.606255707762557,40.25861111111111,-5.678333333333334,3
3516X,1260,12.65543369890329,40.12083333333334,-5.8325,3
3519X,415,18.284075869955142,40.043055555555554,-6.085833333333333,0
3526X,313,17.907165677772706,40.00361111111111,-6.5575,0
3531X,459,16.16634438305709,40.255,-6.411666666666667,3
3536X,560,16.449725274725274,40.17472222222222,-6.724444444444445,3
3540X,336,17.22943157894737,39.87138888888889,-6.859999999999999,0
3547X,450,16.601194672933804,40.20722222222223,-6.896111111111111,3
3562X,321,17.303995621237,39.4275,-6.7363888888888885,0
3565X,425,17.00210608344399,39.61805555555556,-6.745,0
3576X,444,16.42930561900411,39.414722222222224,-7.231111111111111,0
4007Y,905,14.783411105926271,38.965833333333336,-2.745,4
4051Y,875,14.172949525093815,40.06111111111111,-2.8069444444444445,4
4061X,692,15.956309399278148,39.59722222222222,-3.0483333333333333,4
4064Y,640,16.644166283876896,39.39083333333333,-3.2158333333333333,4
4067,690,15.077623801182822,39.49194444444444,-3.5283333333333333,4
4070Y,1020,13.548985643389228,40.01888888888889,-2.395277777777778,4
4075Y,870,14.743180304938187,39.84027777777778,-2.5033333333333334,4
4089A,858,14.526464137177438,39.51694444444444,-2.4958333333333336,4
4090Y,728,15.050848439446773,39.41666666666666,-2.420555555555556,4
4091Y,718,16.12606790799562,39.261944444444445,-2.5925,4
